epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6230.08,1.32477,0.81116,0.94974,0.72705,0.54612,0.62352,0.35378,1.43225,0.9977,0.98387,0.000828443,0.000828443,0.000828443
43,6371.48,1.38796,0.83338,0.97405,0.71097,0.52582,0.60514,0.34316,1.46376,0.97718,1.01477,0.000820525,0.000820525,0.000820525
44,6512.41,1.39136,0.85448,0.97063,0.73242,0.52679,0.61462,0.3495,1.44237,0.97401,0.98567,0.000812468,0.000812468,0.000812468
45,6653.84,1.35893,0.81999,0.9621,0.71994,0.53939,0.62151,0.35199,1.43841,1.03158,0.99786,0.000804277,0.000804277,0.000804277
46,6795.85,1.38021,0.81028,0.96178,0.72784,0.53721,0.62006,0.3527,1.44748,0.94939,1.00128,0.000795954,0.000795954,0.000795954
47,6938.14,1.37727,0.81564,0.96104,0.73324,0.54651,0.62356,0.35565,1.42007,0.98346,0.98305,0.000787503,0.000787503,0.000787503
48,7088.54,1.33909,0.81042,0.95834,0.73763,0.54336,0.62626,0.35572,1.44169,0.9567,1.00016,0.000778929,0.000778929,0.000778929
49,7237.76,1.31499,0.79296,0.95483,0.73032,0.53324,0.61695,0.3569,1.42455,0.94655,0.98614,0.000770234,0.000770234,0.000770234
50,7385.51,1.36877,0.82651,0.96937,0.73035,0.53939,0.62087,0.35497,1.43001,0.94923,0.99224,0.000761423,0.000761423,0.000761423
51,7529.33,1.34319,0.81324,0.95393,0.7098,0.55871,0.63137,0.35911,1.4257,0.9673,0.99097,0.0007525,0.0007525,0.0007525
52,7683.06,1.33652,0.78442,0.94802,0.72013,0.559,0.62926,0.36054,1.41805,0.95131,0.99976,0.000743468,0.000743468,0.000743468
53,7837,1.33426,0.78913,0.95927,0.73361,0.54109,0.62994,0.35945,1.41336,0.94284,0.98946,0.000734332,0.000734332,0.000734332
54,7986.89,1.32983,0.7781,0.95603,0.73816,0.53529,0.62366,0.35912,1.42721,0.9767,0.98846,0.000725094,0.000725094,0.000725094
55,8132.53,1.31885,0.77991,0.9486,0.74477,0.55344,0.63523,0.36283,1.42219,0.93193,0.99444,0.000715761,0.000715761,0.000715761
