epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11637.1,1.19056,0.68785,1.17307,0.85739,0.76034,0.84482,0.52911,1.20851,0.61276,1.25558,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,12024.7,1.19115,0.68879,1.1767,0.85452,0.76342,0.84497,0.52999,1.20434,0.61192,1.25646,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,12419.6,1.18601,0.67935,1.17157,0.86188,0.76056,0.84612,0.53075,1.20354,0.60692,1.25433,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,12817.8,1.17679,0.67683,1.16555,0.85672,0.76503,0.84632,0.53085,1.20308,0.60419,1.25536,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,13211.4,1.18465,0.68034,1.1648,0.86186,0.76496,0.84782,0.53313,1.20064,0.60056,1.25042,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,13605.1,1.17557,0.67404,1.16389,0.86152,0.76723,0.8503,0.5343,1.19748,0.60188,1.24467,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,13995.6,1.1691,0.66602,1.15644,0.86285,0.76555,0.84847,0.53403,1.19708,0.59763,1.25062,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,14382.7,1.16573,0.66036,1.15781,0.86325,0.76675,0.85195,0.5363,1.19441,0.59635,1.25177,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,14771.8,1.17045,0.66452,1.155,0.86363,0.76697,0.85042,0.53683,1.19379,0.59182,1.25078,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,15160.3,1.16355,0.66167,1.15746,0.86093,0.76856,0.85187,0.53696,1.19354,0.593,1.25415,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,15546.8,1.15706,0.65342,1.14943,0.85948,0.77117,0.85279,0.53725,1.19348,0.59002,1.24819,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
