model_id,dataset_id,split,evaluation_group,experiment_folder,precision,recall,f1,map50,map75,map50_95,runtime_seconds,preprocess_ms,inference_ms,postprocess_ms,source_metrics_file
caltech_only,caltech_test,test,caltech_test,caltech_only_on_caltech_test,0.748344990860903,0.3768690875801037,0.5012878869977201,0.4269752373763792,0.1731837512196272,0.2068670516473433,,0.9831788729652472,25.398295711676177,0.4529615124184946,cross_dataset_validation/caltech_test/caltech_only_on_caltech_test/metrics.csv
caltech_to_citypersons,caltech_test,test,caltech_test,caltech_to_citypersons_on_caltech_test,0.6198436196117489,0.2740311260299054,0.3800452935332256,0.2965874676761982,0.0607439855020488,0.1126791832753039,113.46336897899982,1.008798613476547,25.343008491580036,0.8010657119608782,cross_dataset_validation/caltech_test/caltech_to_citypersons_on_caltech_test/metrics.csv
citypersons_only,caltech_test,test,caltech_test,citypersons_only_on_caltech_test,0.5401862615959282,0.1910283796155019,0.2822451860982041,0.1956410981532397,0.0369409274806389,0.0736322481949429,114.22687786699998,0.9875676365977042,25.50186981358763,0.7956667367974063,cross_dataset_validation/caltech_test/citypersons_only_on_caltech_test/metrics.csv
citypersons_to_crowdhuman,caltech_test,test,caltech_test,citypersons_to_crowdhuman_on_caltech_test,0.7408301203503799,0.3933998883451077,0.5139036780797733,0.444105563346658,0.1361366788106487,0.1940437789743913,114.12779860300088,1.0186894958594628,25.345835241505178,0.7041458270054843,cross_dataset_validation/caltech_test/citypersons_to_crowdhuman_on_caltech_test/metrics.csv
crowdhuman_only,caltech_test,test,caltech_test,crowdhuman_only_on_caltech_test,0.71363177644181,0.4015197075942981,0.5138982932970515,0.4514139659511422,0.138482832451431,0.1988700578809366,111.3471012660002,1.001464445044052,25.430880840139395,0.7100863165852959,cross_dataset_validation/caltech_test/crowdhuman_only_on_caltech_test/metrics.csv
crowdhuman_to_citypersons,caltech_test,test,caltech_test,crowdhuman_to_citypersons_on_caltech_test,0.5714252859443512,0.1965212084223375,0.2924609684154443,0.2075545344164265,0.0420163248910709,0.0796592717246445,116.93952165600058,0.9904437824696932,25.460188254069013,0.7856874590337829,cross_dataset_validation/caltech_test/crowdhuman_to_citypersons_on_caltech_test/metrics.csv
caltech_only,citypersons_val,val,citypersons_val,caltech_only_on_citypersons_val,0.5566556323913943,0.2465592972181552,0.3417481833453166,0.2263582019607756,0.0500584587636311,0.089798359619205,34.52551069800029,0.998909045999426,17.902858613997523,1.6585205340006723,cross_dataset_validation/citypersons_val/caltech_only_on_citypersons_val/metrics.csv
caltech_to_citypersons,citypersons_val,val,citypersons_val,caltech_to_citypersons_on_citypersons_val,0.7240659801017018,0.5224011713030746,0.606919990919206,0.5864147315882664,0.308656617641524,0.3235088569380592,28.79241683200007,1.107152524000412,17.338238981999893,2.6124448039990966,cross_dataset_validation/citypersons_val/caltech_to_citypersons_on_citypersons_val/metrics.csv
citypersons_only,citypersons_val,val,citypersons_val,citypersons_only_on_citypersons_val,0.7483925980359553,0.579502196193265,0.6532071005344349,0.6520274614105408,0.3744372086228124,0.3798385027504686,29.89597305300003,1.117348394001965,17.219144413998038,2.950275355998201,cross_dataset_validation/citypersons_val/citypersons_only_on_citypersons_val/metrics.csv
citypersons_to_crowdhuman,citypersons_val,val,citypersons_val,citypersons_to_crowdhuman_on_citypersons_val,0.6586802758759042,0.5279648609077598,0.5861230614876002,0.4966483479931025,0.2870548452721531,0.2826126703453552,29.189788177999617,1.0103480000034324,17.233768604002762,3.01828453998678,cross_dataset_validation/citypersons_val/citypersons_to_crowdhuman_on_citypersons_val/metrics.csv
