epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5589.72,1.36935,0.79364,1.00042,0.72393,0.5142,0.58223,0.31505,1.5506,0.98605,1.07484,0.000242783,0.000242783,0.000242783
43,5724.38,1.42642,0.81987,1.02739,0.72207,0.51157,0.57681,0.31647,1.55539,0.9888,1.08687,0.000233081,0.000233081,0.000233081
44,5858.2,1.44586,0.83855,1.02779,0.71807,0.5142,0.58122,0.3184,1.54296,0.9857,1.07908,0.000223409,0.000223409,0.000223409
45,5992.21,1.4128,0.80551,1.01773,0.73494,0.50395,0.58251,0.31766,1.55991,0.98368,1.0832,0.000213782,0.000213782,0.000213782
46,6126.53,1.42353,0.79325,1.00968,0.7124,0.51426,0.58148,0.31754,1.55028,0.9776,1.07828,0.000204215,0.000204215,0.000204215
47,6260.96,1.42046,0.801,1.01493,0.72257,0.50922,0.58178,0.31661,1.55315,0.97784,1.08288,0.000194722,0.000194722,0.000194722
48,6395.66,1.37586,0.78314,1.01371,0.73779,0.50426,0.58069,0.31695,1.54823,0.97924,1.0805,0.000185318,0.000185318,0.000185318
49,6528.91,1.3593,0.77913,1.00448,0.73556,0.50825,0.58569,0.32049,1.53447,0.96388,1.07974,0.000176018,0.000176018,0.000176018
50,6661.89,1.41778,0.80992,1.01495,0.72767,0.51092,0.58265,0.31674,1.54873,0.99025,1.08398,0.000166836,0.000166836,0.000166836
51,6794.27,1.3868,0.80324,1.00629,0.71527,0.51788,0.58295,0.31842,1.54,0.95927,1.0756,0.000157786,0.000157786,0.000157786
52,6926.72,1.37504,0.774,0.99682,0.71317,0.51625,0.57804,0.31746,1.55011,0.9704,1.08431,0.000148882,0.000148882,0.000148882
53,7058.7,1.37504,0.77927,1.01068,0.71743,0.52043,0.58361,0.32024,1.54089,0.95941,1.07823,0.000140137,0.000140137,0.000140137
54,7191.68,1.37186,0.77931,1.00501,0.72484,0.51127,0.58131,0.31823,1.54384,0.9533,1.08368,0.000131566,0.000131566,0.000131566
55,7325.43,1.38146,0.78879,1.00639,0.7072,0.51701,0.58021,0.31895,1.54848,0.96848,1.08641,0.000123182,0.000123182,0.000123182
56,7459.79,1.34866,0.76089,0.99828,0.72793,0.506,0.58598,0.31954,1.53967,0.96642,1.08025,0.000114996,0.000114996,0.000114996
57,7594.2,1.39251,0.8026,1.00896,0.73202,0.50425,0.57889,0.31759,1.54288,0.96369,1.08014,0.000107023,0.000107023,0.000107023
58,7727.79,1.34935,0.76664,1.00768,0.717,0.51596,0.58273,0.3205,1.53358,0.95122,1.07629,9.92742e-05,9.92742e-05,9.92742e-05
59,7863.41,1.34373,0.77107,1.00189,0.72646,0.51016,0.57857,0.31913,1.53853,0.95243,1.07896,9.17616e-05,9.17616e-05,9.17616e-05
60,7997.3,1.36376,0.77393,1.00642,0.71942,0.52094,0.58438,0.32025,1.53554,0.96881,1.07471,8.44968e-05,8.44968e-05,8.44968e-05
61,8131.98,1.36609,0.76907,0.99238,0.7263,0.51286,0.58473,0.32013,1.53739,0.96725,1.07498,7.74911e-05,7.74911e-05,7.74911e-05
62,8265.56,1.35548,0.77035,0.99739,0.72699,0.51713,0.58244,0.32042,1.53543,0.95972,1.07645,7.07552e-05,7.07552e-05,7.07552e-05
63,8400.75,1.34484,0.7632,0.99846,0.72457,0.51801,0.58436,0.32076,1.5356,0.96652,1.07647,6.42995e-05,6.42995e-05,6.42995e-05
64,8535.23,1.35062,0.76554,0.99473,0.72582,0.5155,0.58338,0.32034,1.53954,0.94097,1.08004,5.81341e-05,5.81341e-05,5.81341e-05
65,8669.71,1.37152,0.77247,0.98572,0.72187,0.5229,0.58435,0.32064,1.53289,0.94766,1.0793,5.22683e-05,5.22683e-05,5.22683e-05
66,8803.68,1.36366,0.77648,0.98203,0.71754,0.52123,0.58393,0.32152,1.53311,0.95606,1.07839,4.67113e-05,4.67113e-05,4.67113e-05
67,8938.93,1.34164,0.75666,0.9868,0.72406,0.52172,0.5858,0.32179,1.53928,0.95493,1.08487,4.14716e-05,4.14716e-05,4.14716e-05
68,9073.88,1.32791,0.7483,0.99889,0.72127,0.51947,0.58688,0.32277,1.54096,0.94871,1.08625,3.65572e-05,3.65572e-05,3.65572e-05
69,9209.14,1.35131,0.76777,0.98755,0.72796,0.52064,0.5862,0.32305,1.53781,0.95563,1.08521,3.19759e-05,3.19759e-05,3.19759e-05
70,9342.76,1.33458,0.7708,0.98987,0.72481,0.51752,0.58658,0.32189,1.53846,0.95152,1.08304,2.77346e-05,2.77346e-05,2.77346e-05
71,9477.53,1.38667,0.80285,0.97701,0.72256,0.51173,0.57695,0.31479,1.56974,0.97295,1.10606,2.38398e-05,2.38398e-05,2.38398e-05
72,9608.36,1.37693,0.8038,0.98388,0.71402,0.51069,0.57787,0.31606,1.56216,0.96687,1.10169,2.02976e-05,2.02976e-05,2.02976e-05
73,9740.02,1.3091,0.76031,0.97142,0.71887,0.51215,0.57871,0.31612,1.56054,0.9696,1.10166,1.71135e-05,1.71135e-05,1.71135e-05
74,9871.99,1.37649,0.83124,0.97102,0.72416,0.51275,0.5812,0.31695,1.55732,0.97235,1.10103,1.42923e-05,1.42923e-05,1.42923e-05
75,10005,1.36501,0.80542,0.97877,0.718,0.51977,0.58138,0.31738,1.55775,0.96621,1.09952,1.18384e-05,1.18384e-05,1.18384e-05
76,10136.2,1.32755,0.77061,0.96829,0.72299,0.51127,0.58019,0.31762,1.55584,0.96406,1.09871,9.75564e-06,9.75564e-06,9.75564e-06
77,10270.2,1.33595,0.78463,0.97792,0.72117,0.51479,0.58135,0.31779,1.55544,0.96523,1.09704,8.04714e-06,8.04714e-06,8.04714e-06
78,10402.7,1.33715,0.78357,0.9689,0.71839,0.51393,0.58074,0.31837,1.55491,0.96574,1.09897,6.71556e-06,6.71556e-06,6.71556e-06
79,10534.8,1.35873,0.78529,0.98338,0.71905,0.51596,0.58017,0.3183,1.55313,0.96836,1.09708,5.76296e-06,5.76296e-06,5.76296e-06
80,10667.5,1.39154,0.80664,0.969,0.71934,0.51274,0.5808,0.31807,1.55474,0.9628,1.09957,5.19081e-06,5.19081e-06,5.19081e-06
