epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11484.7,1.22036,0.70463,1.22188,0.85272,0.75542,0.83993,0.52146,1.23061,0.62398,1.30889,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,11864.4,1.21989,0.70432,1.22536,0.85473,0.75583,0.8402,0.52292,1.2259,0.62262,1.30423,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,12245.4,1.21339,0.69549,1.22019,0.85365,0.75912,0.84208,0.5254,1.22566,0.61601,1.30987,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,12626.4,1.20539,0.69411,1.21486,0.84993,0.75999,0.84293,0.52617,1.22379,0.61854,1.30713,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,13009.5,1.21339,0.69721,1.21319,0.85572,0.76108,0.84468,0.5259,1.22358,0.61181,1.30723,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,13390.9,1.20425,0.69256,1.21224,0.85451,0.76337,0.84494,0.52732,1.22083,0.61189,1.30619,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,13772,1.19779,0.68129,1.20457,0.85445,0.76209,0.8447,0.52784,1.21758,0.60958,1.30396,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,14153,1.19605,0.67824,1.20818,0.85531,0.76254,0.84521,0.52833,1.21762,0.60705,1.30203,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,14535.5,1.19975,0.68144,1.20493,0.85671,0.76443,0.84655,0.52911,1.2168,0.60458,1.30232,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,14917.1,1.19326,0.68165,1.20507,0.85927,0.76205,0.8468,0.53021,1.21438,0.60345,1.30193,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,15299.6,1.18866,0.6724,1.19724,0.85559,0.76613,0.84899,0.53107,1.21233,0.6034,1.29902,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,15681.2,1.18951,0.67368,1.19894,0.8573,0.76561,0.84796,0.53194,1.21182,0.60009,1.30208,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,16063.3,1.18558,0.67014,1.19816,0.8592,0.76533,0.84823,0.53246,1.21041,0.59764,1.30535,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,16444.2,1.18009,0.66565,1.20126,0.85802,0.76664,0.84885,0.5336,1.20912,0.5955,1.30502,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,16825.8,1.17917,0.66471,1.19615,0.85939,0.7656,0.84866,0.53365,1.2075,0.5947,1.30387,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,17205.9,1.18081,0.66527,1.18959,0.8587,0.7673,0.85118,0.53427,1.2057,0.59411,1.29977,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,17585.9,1.17404,0.66038,1.18953,0.85783,0.76918,0.85144,0.53455,1.2058,0.5925,1.30062,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,17966,1.16728,0.6561,1.19028,0.85523,0.77204,0.85022,0.53439,1.20551,0.59075,1.30182,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,18346.7,1.16423,0.65189,1.18255,0.85759,0.76905,0.84994,0.53477,1.20481,0.58981,1.30069,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,18725.3,1.1675,0.65702,1.18722,0.85837,0.77033,0.85231,0.53589,1.20429,0.58817,1.30214,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,19104.8,1.16248,0.65307,1.18197,0.86038,0.77063,0.85089,0.53592,1.20309,0.58763,1.30252,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,19483.2,1.15172,0.64651,1.18319,0.8601,0.77119,0.85306,0.53645,1.20247,0.58689,1.30234,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,19864.3,1.16072,0.64632,1.17912,0.85947,0.77196,0.85317,0.53671,1.20218,0.58526,1.30322,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,20246.6,1.14987,0.64038,1.17462,0.86024,0.77225,0.85361,0.53689,1.20193,0.58362,1.30211,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,20626.2,1.15031,0.64185,1.17732,0.86023,0.7714,0.85173,0.53685,1.20224,0.58284,1.30295,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,21008,1.14388,0.6357,1.17634,0.8609,0.77154,0.85205,0.53687,1.20213,0.5821,1.30219,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,21392.5,1.14979,0.63706,1.17734,0.86068,0.77221,0.85428,0.53755,1.20213,0.58152,1.30186,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,21773.7,1.1344,0.63129,1.16444,0.86211,0.77104,0.85446,0.53781,1.20169,0.58075,1.30174,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,22155.9,1.12951,0.62707,1.16601,0.86147,0.77275,0.85463,0.53783,1.20149,0.58063,1.30223,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,22536.6,1.1365,0.6264,1.16073,0.86075,0.77342,0.85487,0.53805,1.20149,0.58015,1.30277,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,22917.1,1.13269,0.62387,1.16409,0.86186,0.77267,0.85503,0.53794,1.20152,0.57959,1.30375,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,23297.9,1.11784,0.62085,1.16058,0.86196,0.77254,0.85507,0.53803,1.20128,0.57915,1.30408,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,23679.4,1.12418,0.62107,1.16531,0.86258,0.77358,0.85544,0.53816,1.20128,0.57834,1.30429,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,24062.1,1.11823,0.61475,1.15635,0.86208,0.77401,0.85542,0.5382,1.20127,0.578,1.30496,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,24446.5,1.11547,0.61726,1.1576,0.86211,0.77427,0.8554,0.53823,1.20127,0.57771,1.30545,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,24829.2,1.11274,0.60693,1.15204,0.86243,0.77461,0.85547,0.53824,1.20157,0.57702,1.30579,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,25210.1,1.11407,0.61099,1.15006,0.86184,0.77482,0.85542,0.53831,1.20152,0.57643,1.30561,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,25591.1,1.10281,0.60515,1.15158,0.86096,0.77591,0.85567,0.53856,1.20149,0.57566,1.30603,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
